HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.10,agg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.10,disagg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.9,agg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.9,disagg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,trtllm,1.2.0rc5,agg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,trtllm,1.2.0rc5,disagg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,trtllm,1.3.0rc10,agg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,trtllm,1.3.0rc10,disagg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,vllm,0.19.0,agg,PASS,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b200_sxm,vllm,0.19.0,disagg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.10,agg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.10,disagg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.9,agg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,sglang,0.5.9,disagg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,trtllm,1.2.0rc5,agg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,trtllm,1.2.0rc5,disagg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,trtllm,1.3.0rc10,agg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,trtllm,1.3.0rc10,disagg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,vllm,0.19.0,agg,PASS,
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b200_sxm,vllm,0.19.0,disagg,PASS,
Qwen/Qwen3-0.6B,Qwen3ForCausalLM,b200_sxm,sglang,0.5.10,agg,PASS,
