HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b60,vllm,0.12.0,agg,HW_INCOMPATIBLE,"CPU-verified deterministic unhealable: ValueError: Unsupported gemm quant mode 'fp8_block' for system='b60', backend='vllm', version='0.12.0'. Supported gemm modes: ['bfloat16', 'fp8']"
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,b60,vllm,0.12.0,disagg,HW_INCOMPATIBLE,"CPU-verified deterministic unhealable: ValueError: Unsupported gemm quant mode 'fp8_block' for system='b60', backend='vllm', version='0.12.0'. Supported gemm modes: ['bfloat16', 'fp8']"
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b60,vllm,0.12.0,agg,HW_INCOMPATIBLE,"CPU-verified deterministic unhealable: ValueError: Unsupported gemm quant mode 'fp8_block' for system='b60', backend='vllm', version='0.12.0'. Supported gemm modes: ['bfloat16', 'fp8']"
MiniMaxAI/MiniMax-M2.7,MiniMaxM2ForCausalLM,b60,vllm,0.12.0,disagg,HW_INCOMPATIBLE,"CPU-verified deterministic unhealable: ValueError: Unsupported gemm quant mode 'fp8_block' for system='b60', backend='vllm', version='0.12.0'. Supported gemm modes: ['bfloat16', 'fp8']"
Qwen/Qwen3-0.6B,Qwen3ForCausalLM,b60,vllm,0.12.0,agg,PASS,
Qwen/Qwen3-0.6B,Qwen3ForCausalLM,b60,vllm,0.12.0,disagg,PASS,
Qwen/Qwen3-1.7B,Qwen3ForCausalLM,b60,vllm,0.12.0,agg,PASS,
Qwen/Qwen3-1.7B,Qwen3ForCausalLM,b60,vllm,0.12.0,disagg,PASS,
Qwen/Qwen3-235B-A22B,Qwen3MoeForCausalLM,b60,vllm,0.12.0,agg,HW_INCOMPATIBLE,"Final best-effort UNHEALABLE (missing_moe_perf_data): missing MoE perf data for system='b60', backend='vllm', version='0.12.0', mode='agg'. Original support-matrix evidence: num_tokens=128.0, hidden_size=4096, inter_size=1536, topk=8, num_experts=128, moe_tp_size=8, moe_ep_size=1, quant_mode=<MoEQuantMode.bfloat16: QuantMapping(memory=2, compute=1, name='bfloat16')>, workload_distribution='power_law_1.2'. Evidence: support matrix refresh completed with 94 rows, 22 PASS, 18 FAIL, 54 UNHEALABLE; CPU-only phase reproduced the Qwen/Qwen3.5-27B and zai-org/GLM-5 failures and found no CPU-verifiable fix; one-node GPU recollection was blocked before allocation because local nvidia-smi is unavailable and configured clusters reject b60; active AIC branch heal/b60-1gpu-heal-af47342dd6ef has no diff relative to main. Finalized at 2026-05-15T22:04:05.623438+00:00."
Qwen/Qwen3-235B-A22B,Qwen3MoeForCausalLM,b60,vllm,0.12.0,disagg,HW_INCOMPATIBLE,"Final best-effort UNHEALABLE (missing_moe_perf_data): missing MoE perf data for system='b60', backend='vllm', version='0.12.0', mode='disagg'. Original support-matrix evidence: num_tokens=128, hidden_size=4096, inter_size=1536, topk=8, num_experts=128, moe_tp_size=8, moe_ep_size=1, quant_mode=<MoEQuantMode.bfloat16: QuantMapping(memory=2, compute=1, name='bfloat16')>, workload_distribution='power_law_1.2'. Evidence: support matrix refresh completed with 94 rows, 22 PASS, 18 FAIL, 54 UNHEALABLE; CPU-only phase reproduced the Qwen/Qwen3.5-27B and zai-org/GLM-5 failures and found no CPU-verifiable fix; one-node GPU recollection was blocked before allocation because local nvidia-smi is unavailable and configured clusters reject b60; active AIC branch heal/b60-1gpu-heal-af47342dd6ef has no diff relative to main. Finalized at 2026-05-15T22:04:05.623438+00:00."
